timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
101223167,101223057,0.1427688,-0.007814827,0.047099628,1.0,0.0,0.0,0.0,-1.0
101227251,101227134,0.11716496,-0.019338602,0.09704239,1.0,0.0,0.0,0.0,-1.0
101229557,101229455,0.15301318,-0.044547636,0.048574835,1.0,0.0,0.0,0.0,-1.0
101233597,101233460,0.120427534,-0.029942146,0.108685106,1.0,0.0,0.0,0.0,-1.0
101237568,101237455,0.1443199,-0.045820132,0.06217507,1.0,0.0,0.0,0.0,-1.0
101240774,101240657,0.12668873,-0.039052036,0.05742197,1.0,0.0,0.0,0.0,-1.0
101244768,101244655,0.14328808,-0.04977197,0.09045079,1.0,0.0,0.0,0.0,-1.0
101247965,101247854,0.13728005,-0.06403521,0.021808883,1.0,0.0,0.0,0.0,-1.0
101251217,101251061,0.12787807,-0.040347304,0.09278882,1.0,0.0,0.0,0.0,-1.0
101255156,101255054,0.14093056,-0.057974294,0.04084506,1.0,0.0,0.0,0.0,-1.0
101257563,101257454,0.12444095,-0.06719842,0.05167009,1.0,0.0,0.0,0.0,-1.0
101261557,101261455,0.1528144,-0.0641545,0.07156849,1.0,0.0,0.0,0.0,-1.0
101265556,101265454,0.12982738,-0.07965993,0.046986837,1.0,0.0,0.0,0.0,-1.0
101268759,101268655,0.15053469,-0.060133558,0.10167901,1.0,0.0,0.0,0.0,-1.0
101272769,101272656,0.14036886,-0.09387463,0.032470815,1.0,0.0,0.0,0.0,-1.0
101277603,101277501,0.15952288,-0.055760812,0.084653206,1.0,0.0,0.0,0.0,-1.0
101279160,101279057,0.14065465,-0.059298147,0.0587681,1.0,0.0,0.0,0.0,-1.0
101283156,101283054,0.15640451,-0.092743345,0.06437943,1.0,0.0,0.0,0.0,-1.0
101286364,101286254,0.15897103,-0.054840244,0.07419361,1.0,0.0,0.0,0.0,-1.0
101288756,101288654,0.14086682,-0.086319745,0.047046654,1.0,0.0,0.0,0.0,-1.0
101292759,101292655,0.17121622,-0.06306735,0.08597922,1.0,0.0,0.0,0.0,-1.0
101296756,101296654,0.13982907,-0.08284721,0.05455278,1.0,0.0,0.0,0.0,-1.0
101302363,101302255,0.16218896,-0.043075893,0.072519265,1.0,0.0,0.0,0.0,-1.0
101303974,101303861,0.13672015,-0.041818168,0.067003846,1.0,0.0,0.0,0.0,-1.0
101307156,101307054,0.15779522,-0.109756365,0.073098645,1.0,0.0,0.0,0.0,-1.0
101311362,101311185,0.1546453,-0.03448889,0.0711437,1.0,0.0,0.0,0.0,-1.0
101314402,101314283,0.14634871,-0.08713085,0.079567924,1.0,0.0,0.0,0.0,-1.0
101316759,101316655,0.18707426,-0.094493225,0.07451572,1.0,0.0,0.0,0.0,-1.0
101320756,101320654,0.13844752,-0.030492552,0.075146884,1.0,0.0,0.0,0.0,-1.0
101326366,101326256,0.18144543,-0.074409135,0.06052973,1.0,0.0,0.0,0.0,-1.0
101328776,101328660,0.13483648,-0.027551405,0.060675,1.0,0.0,0.0,0.0,-1.0
101332815,101332664,0.18641283,-0.08355503,0.08575576,1.0,0.0,0.0,0.0,-1.0
101335167,101335065,0.18164946,-0.071394525,0.037942335,1.0,0.0,0.0,0.0,-1.0
101339163,101339054,0.13900255,-0.044984672,0.09321579,1.0,0.0,0.0,0.0,-1.0
101342385,101342272,0.17393619,-0.06865479,0.06885588,1.0,0.0,0.0,0.0,-1.0
101344874,101344725,0.14866005,-0.05692342,0.029293882,1.0,0.0,0.0,0.0,-1.0
101348760,101348656,0.16944176,-0.05102317,0.10819379,1.0,0.0,0.0,0.0,-1.0
101352836,101352680,0.13745153,-0.07086456,0.03177188,1.0,0.0,0.0,0.0,-1.0
101356813,101356711,0.18417442,-0.054041307,0.120361075,1.0,0.0,0.0,0.0,-1.0
101359983,101359854,0.14125153,-0.067728184,0.06701105,1.0,0.0,0.0,0.0,-1.0
101363163,101363054,0.14992322,-0.06604464,0.0788084,1.0,0.0,0.0,0.0,-1.0
101367221,101367101,0.16129495,-0.05111792,0.09041963,1.0,0.0,0.0,0.0,-1.0
101370372,101370260,0.1425391,-0.08119011,0.061040252,1.0,0.0,0.0,0.0,-1.0
101374401,101374275,0.18074334,-0.043836713,0.09192047,1.0,0.0,0.0,0.0,-1.0
101376759,101376657,0.12311754,-0.07663024,0.04780272,1.0,0.0,0.0,0.0,-1.0
